dataset_type,dataset_shuffle,k_folds_splits,k_folds_stratified,knn_k_neighbours,knn_voting_type,knn_metric,f_score
iris,False,2,False,11,distance,chebyshev,0.15544041450777202
iris,False,2,False,11,custom,euclidean,0.1485319516407599
iris,False,2,False,11,custom,manhattan,0.15384615384615383
iris,False,2,False,11,custom,chebyshev,0.1473684210526316
iris,False,2,False,12,uniform,euclidean,0.15384615384615383
iris,False,2,False,12,uniform,manhattan,0.1564625850340136
iris,False,2,False,12,uniform,chebyshev,0.1527777777777778
iris,False,2,False,12,distance,euclidean,0.15120274914089346
iris,False,2,False,12,distance,manhattan,0.15905245346869712
iris,False,2,False,12,distance,chebyshev,0.15008726003490402
iris,False,2,False,12,custom,euclidean,0.15120274914089346
iris,False,2,False,12,custom,manhattan,0.15384615384615383
iris,False,2,False,12,custom,chebyshev,0.14814814814814817
iris,False,2,False,13,uniform,euclidean,0.15384615384615383
iris,False,2,False,13,uniform,manhattan,0.15384615384615383
iris,False,2,False,13,uniform,chebyshev,0.14814814814814817
iris,False,2,False,13,distance,euclidean,0.15384615384615383
iris,False,2,False,13,distance,manhattan,0.15905245346869712
iris,False,2,False,13,distance,chebyshev,0.15624999999999997
iris,False,2,False,13,custom,euclidean,0.1485319516407599
iris,False,2,False,13,custom,manhattan,0.15120274914089346
iris,False,2,False,13,custom,chebyshev,0.14814814814814817
iris,False,2,False,14,uniform,euclidean,0.15384615384615383
iris,False,2,False,14,uniform,manhattan,0.15384615384615383
iris,False,2,False,14,uniform,chebyshev,0.15008726003490402
iris,False,2,False,14,distance,euclidean,0.15384615384615383
iris,False,2,False,14,distance,manhattan,0.15905245346869712
iris,False,2,False,14,distance,chebyshev,0.1527777777777778
iris,False,2,False,14,custom,euclidean,0.14583333333333334
iris,False,2,False,14,custom,manhattan,0.1485319516407599
iris,False,2,False,14,custom,chebyshev,0.14814814814814817
iris,False,2,False,15,uniform,euclidean,0.1485319516407599
iris,False,2,False,15,uniform,manhattan,0.15120274914089346
iris,False,2,False,15,uniform,chebyshev,0.14539007092198583
iris,False,2,False,15,distance,euclidean,0.15384615384615383
iris,False,2,False,15,distance,manhattan,0.15905245346869712
iris,False,2,False,15,distance,chebyshev,0.15357766143106458
iris,False,2,False,15,custom,euclidean,0.14583333333333334
iris,False,2,False,15,custom,manhattan,0.1485319516407599
iris,False,2,False,15,custom,chebyshev,0.13693693693693695
iris,False,2,True,1,uniform,euclidean,0.9266593325999266
iris,False,2,True,1,uniform,manhattan,0.9132552630700964
iris,False,2,True,1,uniform,chebyshev,0.9336538795301682
iris,False,2,True,1,distance,euclidean,0.9266593325999266
iris,False,2,True,1,distance,manhattan,0.9132552630700964
iris,False,2,True,1,distance,chebyshev,0.9336538795301682
iris,False,2,True,1,custom,euclidean,0.912486882405645
iris,False,2,True,1,custom,manhattan,0.8987612759292101
iris,False,2,True,1,custom,chebyshev,0.9194512366216379
iris,False,2,True,2,uniform,euclidean,0.9197109594540346
iris,False,2,True,2,uniform,manhattan,0.9197109594540346
iris,False,2,True,2,uniform,chebyshev,0.906277191389551
iris,False,2,True,2,distance,euclidean,0.9266593325999266
iris,False,2,True,2,distance,manhattan,0.9132552630700964
iris,False,2,True,2,distance,chebyshev,0.9336538795301682
iris,False,2,True,2,custom,euclidean,0.9203707708862349
iris,False,2,True,2,custom,manhattan,0.9333066559957316
iris,False,2,True,2,custom,chebyshev,0.8805214449544346
iris,False,2,True,3,uniform,euclidean,0.9333066559957316
iris,False,2,True,3,uniform,manhattan,0.9199679871948779
iris,False,2,True,3,uniform,chebyshev,0.9336075083840725
iris,False,2,True,3,distance,euclidean,0.9399459513562206
iris,False,2,True,3,distance,manhattan,0.9266006072131585
iris,False,2,True,3,distance,chebyshev,0.9336075083840725
iris,False,2,True,3,custom,euclidean,0.9333066559957316
iris,False,2,True,3,custom,manhattan,0.9199679871948779
iris,False,2,True,3,custom,chebyshev,0.9336075083840725
iris,False,2,True,4,uniform,euclidean,0.9464739729693563
iris,False,2,True,4,uniform,manhattan,0.9266006072131585
iris,False,2,True,4,uniform,chebyshev,0.9199763199763199
iris,False,2,True,4,distance,euclidean,0.9266006072131585
iris,False,2,True,4,distance,manhattan,0.9133246657999133
iris,False,2,True,4,distance,chebyshev,0.9203707708862349
iris,False,2,True,4,custom,euclidean,0.9599839935974389
iris,False,2,True,4,custom,manhattan,0.9466666666666667
iris,False,2,True,4,custom,chebyshev,0.9269040909526095
iris,False,2,True,5,uniform,euclidean,0.9465811965811964
iris,False,2,True,5,uniform,manhattan,0.9466666666666667
iris,False,2,True,5,uniform,chebyshev,0.9269901394901395
iris,False,2,True,5,distance,euclidean,0.9465811965811964
iris,False,2,True,5,distance,manhattan,0.9533286661999533
iris,False,2,True,5,distance,chebyshev,0.9269901394901395
iris,False,2,True,5,custom,euclidean,0.9465811965811964
iris,False,2,True,5,custom,manhattan,0.93999399939994
iris,False,2,True,5,custom,chebyshev,0.9269901394901395
iris,False,2,True,6,uniform,euclidean,0.9398496240601504
iris,False,2,True,6,uniform,manhattan,0.9330924662116954
iris,False,2,True,6,uniform,chebyshev,0.9336075083840725
iris,False,2,True,6,distance,euclidean,0.9332264957264957
iris,False,2,True,6,distance,manhattan,0.9266006072131585
iris,False,2,True,6,distance,chebyshev,0.9269901394901395
iris,False,2,True,6,custom,euclidean,0.9466453247965854
iris,False,2,True,6,custom,manhattan,0.93999399939994
iris,False,2,True,6,custom,chebyshev,0.9137454726913812
iris,False,2,True,7,uniform,euclidean,0.9465811965811964
iris,False,2,True,7,uniform,manhattan,0.93999399939994
iris,False,2,True,7,uniform,chebyshev,0.9071103188750248
iris,False,2,True,7,distance,euclidean,0.9465811965811964
iris,False,2,True,7,distance,manhattan,0.93999399939994
iris,False,2,True,7,distance,chebyshev,0.9269901394901395
iris,False,2,True,7,custom,euclidean,0.9465811965811964
iris,False,2,True,7,custom,manhattan,0.9333333333333332
iris,False,2,True,7,custom,chebyshev,0.9071103188750248
iris,False,2,True,8,uniform,euclidean,0.9463231347289319
iris,False,2,True,8,uniform,manhattan,0.9464739729693563
iris,False,2,True,8,uniform,chebyshev,0.9269901394901395
iris,False,2,True,8,distance,euclidean,0.9332264957264957
iris,False,2,True,8,distance,manhattan,0.9332264957264957
iris,False,2,True,8,distance,chebyshev,0.9269901394901395
iris,False,2,True,8,custom,euclidean,0.9466666666666667
iris,False,2,True,8,custom,manhattan,0.9599839935974389
iris,False,2,True,8,custom,chebyshev,0.9137287062039537
iris,False,2,True,9,uniform,euclidean,0.93999399939994
iris,False,2,True,9,uniform,manhattan,0.9599839935974389
iris,False,2,True,9,uniform,chebyshev,0.9004613794712805
iris,False,2,True,9,distance,euclidean,0.9465811965811964
iris,False,2,True,9,distance,manhattan,0.93999399939994
iris,False,2,True,9,distance,chebyshev,0.9137454726913812
iris,False,2,True,9,custom,euclidean,0.93999399939994
iris,False,2,True,9,custom,manhattan,0.9599839935974389
iris,False,2,True,9,custom,chebyshev,0.8937947128046138
iris,False,2,True,10,uniform,euclidean,0.9398496240601504
iris,False,2,True,10,uniform,manhattan,0.9532912954992826
iris,False,2,True,10,uniform,chebyshev,0.9269901394901395
iris,False,2,True,10,distance,euclidean,0.9399459513562206
iris,False,2,True,10,distance,manhattan,0.93999399939994
